,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
0,male,42.0,3rd,S,United States,5547.0,7.11,0.0,0.0,no
1,male,13.0,3rd,S,United States,2673.0,20.05,0.0,2.0,no
2,male,16.0,3rd,S,United States,2673.0,20.05,1.0,1.0,no
3,female,39.0,3rd,S,England,2673.0,20.05,1.0,1.0,yes
4,female,16.0,3rd,S,Norway,348125.0,7.13,0.0,0.0,yes
5,male,25.0,3rd,S,United States,348122.0,7.13,0.0,0.0,yes
6,male,30.0,2nd,C,France,3381.0,24.0,1.0,0.0,no
7,female,28.0,2nd,C,France,3381.0,24.0,1.0,0.0,yes
8,male,27.0,3rd,C,Lebanon,2699.0,18.1509,0.0,0.0,yes
9,male,20.0,3rd,S,Finland,3101284.0,7.1806,0.0,0.0,yes
10,male,30.0,3rd,S,Sweden,7076.0,7.05,0.0,0.0,no
11,male,27.0,3rd,S,England,341826.0,8.01,0.0,0.0,no
12,female,40.0,3rd,S,Sweden,7546.0,9.0906,1.0,0.0,no
13,male,0.833333333,3rd,S,England,392091.0,9.07,0.0,1.0,yes
14,female,18.0,3rd,S,England,392091.0,9.07,0.0,1.0,yes
15,male,35.0,2nd,S,England,248744.0,13.0,0.0,0.0,no
16,male,25.0,3rd,S,England,3474.0,7.1709,0.0,0.0,no
17,male,19.0,3rd,S,Finland,3101287.0,7.1806,0.0,0.0,no
18,male,24.0,3rd,S,Argentina,3101311.0,7.01,0.0,0.0,no
19,male,25.0,3rd,S,Argentina,3101312.0,7.01,0.0,0.0,no
20,female,29.0,1st,S,United States,24160.0,211.6009,0.0,0.0,yes
21,male,39.0,3rd,S,England,373450.0,8.01,0.0,0.0,no
22,male,0.916666667,1st,S,Canada,113781.0,151.16,1.0,2.0,yes
23,female,2.0,1st,S,Canada,113781.0,151.16,1.0,2.0,no
24,male,30.0,1st,S,Canada,113781.0,151.16,1.0,2.0,no
25,female,25.0,1st,S,United States,113781.0,151.16,1.0,2.0,no
26,male,18.0,3rd,S,England,2223.0,8.06,0.0,0.0,no
27,male,19.0,3rd,C,Lebanon,2700.0,7.0407,0.0,0.0,no
28,female,19.0,3rd,S,Denmark,350046.0,7.1701,1.0,0.0,yes
29,male,33.0,3rd,S,Norway,4001.0,22.1006,0.0,0.0,no
30,male,47.0,1st,S,United States,19952.0,26.11,0.0,0.0,yes
31,male,4.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
32,female,6.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
33,female,2.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
34,female,16.0,3rd,S,Finland,3101281.0,7.1806,4.0,2.0,yes
35,female,38.0,3rd,S,Sweden,347091.0,7.1506,4.0,2.0,no
36,female,9.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
37,female,11.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
38,male,39.0,3rd,S,Sweden,347082.0,31.0506,1.0,5.0,no
39,male,26.0,3rd,S,Sweden,347075.0,7.1506,0.0,0.0,no
40,female,39.0,3rd,S,Sweden,347082.0,31.0506,1.0,5.0,no
41,male,20.0,3rd,S,Sweden,347466.0,7.1701,0.0,0.0,no
42,male,17.0,2nd,S,Argentina,231945.0,11.1,0.0,0.0,no
43,male,27.0,2nd,S,England,34050.0,10.1,0.0,0.0,no
44,female,62.0,1st,C,United States,13502.0,77.1902,1.0,0.0,yes
45,male,39.0,1st,B,Northern Ireland,112050.0,,0.0,0.0,no
46,male,26.0,3rd,S,Bulgaria,349202.0,7.1711,0.0,0.0,no
47,female,36.0,2nd,S,England,226875.0,26.0,1.0,0.0,yes
48,male,31.0,2nd,S,England,226875.0,26.0,1.0,0.0,no
49,female,53.0,1st,S,United States,11769.0,51.0907,2.0,0.0,yes
50,male,25.0,3rd,S,Switzerland,349237.0,17.16,1.0,0.0,no
51,female,18.0,3rd,S,Switzerland,349237.0,17.16,1.0,0.0,no
52,male,25.0,3rd,S,Sweden,349911.0,7.1506,0.0,0.0,no
53,male,71.0,1st,C,Argentina,17609.0,49.1001,0.0,0.0,no
54,male,57.0,2nd,S,England,244346.0,13.0,0.0,0.0,no
55,male,35.0,3rd,S,Argentina,3101310.0,7.01,0.0,0.0,no
56,male,5.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,no
57,male,9.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,no
58,male,3.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,yes
59,male,13.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,no
60,female,5.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,yes
61,male,40.0,3rd,S,Sweden,347077.0,31.0709,1.0,5.0,no
62,male,13.0,3rd,S,Sweden,350054.0,7.1511,0.0,0.0,yes
63,female,38.0,3rd,S,Sweden,347077.0,31.0709,1.0,5.0,yes
64,female,45.0,3rd,C,Lebanon,2696.0,7.0406,0.0,0.0,yes
65,male,23.0,3rd,S,Argentina,3101309.0,7.01,0.0,0.0,no
66,male,47.0,1st,C,United States,17757.0,247.1006,1.0,0.0,no
67,female,18.0,1st,C,United States,17757.0,247.1006,1.0,0.0,yes
68,female,17.0,3rd,C,Lebanon,2627.0,14.0902,0.0,0.0,no
69,male,27.0,3rd,C,Canada,2694.0,7.0406,0.0,0.0,no
70,female,24.0,1st,C,France,17477.0,69.06,0.0,0.0,yes
71,male,23.0,3rd,S,Sweden,347468.0,7.1701,0.0,0.0,no
72,female,15.0,3rd,C,Lebanon,2687.0,7.0407,0.0,0.0,yes
73,male,32.0,3rd,S,Finland,3101278.0,15.17,1.0,0.0,no
74,female,33.0,3rd,S,Finland,3101278.0,15.17,3.0,0.0,yes
75,female,3.0,3rd,C,Lebanon,2666.0,19.0502,2.0,1.0,yes
76,female,0.75,3rd,C,Lebanon,2666.0,19.0502,2.0,1.0,yes
77,female,5.0,3rd,C,Lebanon,2666.0,19.0502,2.0,1.0,yes
78,female,23.0,3rd,C,Lebanon,2666.0,19.0502,0.0,3.0,yes
79,female,18.0,3rd,S,England,31416.0,8.01,0.0,0.0,yes
80,male,40.0,3rd,C,Lebanon,2623.0,7.0406,0.0,0.0,no
81,male,18.0,2nd,S,England,29108.0,11.1,0.0,0.0,no
82,male,22.0,2nd,S,Channel Islands,31030.0,10.1,0.0,0.0,no
83,male,26.0,3rd,S,Bosnia,349248.0,7.1711,0.0,0.0,no
84,female,36.0,2nd,S,England,28551.0,13.0,0.0,0.0,yes
85,male,28.0,2nd,S,England,34068.0,10.1,0.0,0.0,no
